1753,-0.16,,
1754,0,,
1755,-0.23,,
1756,0.21,,
1757,0.29,,
1758,-1.97,,
1759,-0.74,,
1760,-1.45,,
1761,0.05,,
1762,-0.08,,
1763,-1.15,,
1764,-0.01,,
1765,0.02,,
1766,0.09,,
1767,0.02,,
1768,-1.49,,
1769,-0.45,,
1770,-0.52,,
1771,-0.3,,
1772,0.11,,
1773,-0.03,,
1774,0.47,,
1775,0.67,,
1776,-0.32,,
1777,-0.4,,
1778,-0.22,,
1779,0.09,,
1780,0.76,,
1781,-0.24,,
1782,-0.64,,
1783,-0.73,,
1784,-0.49,,
1785,-0.95,,
1786,-0.34,,
1787,-0.26,,
1788,-0.2,,
1789,-0.23,,
1790,-0.45,,
1791,-0.03,,
1792,-0.44,,
1793,-0.35,,
1794,-0.06,,
1795,-0.08,,
1796,-0.2,,
1797,-0.11,,
1798,0.17,,
1799,-0.06,,
1800,-0.11,,
1801,0.23,,
1802,0.26,,
1803,-0.08,,
1804,0.24,,
1805,-0.05,,
1806,-0.08,,
1807,-0.28,,
1808,-0.72,,
1809,-1.61,,
1810,-1.63,,
1811,-1.35,,
1812,-1.67,,
1813,-0.71,,
1814,-0.95,,
1815,-1.21,,
1816,-1.68,,
1817,-1.49,,
1818,-0.54,,
1819,-1.29,,
1820,-1.09,,
1821,-0.46,,
1822,-0.34,,
1823,-0.87,,
1824,-0.07,,
1825,-0.12,,
1826,-0.17,,
1827,0.13,,
1828,-0.43,,
1829,-0.67,,
1830,-0.09,,
1831,-1,,
1832,-0.99,,
1833,-0.49,,
1834,-0.35,,
1835,-1.24,,
1836,-0.87,,
1837,-1.06,,
1838,-1.11,,
1839,-0.86,,
1840,-0.77,,
1841,-0.84,,
1842,-0.47,,
1843,-0.35,,
1844,-0.84,,
1845,-0.74,,
1846,0.07,,
1847,-0.57,,
1848,-0.65,,
1849,-0.54,,
1850,-0.7,,
1851,-0.34,,
1852,-0.46,,
1853,-0.52,,
1854,-0.28,,
1855,-0.31,,
1856,-0.62,,
1857,-0.77,,
1858,-0.42,,
1859,-0.25,,
1860,-0.58,,
1861,-0.62,,
1862,-0.97,,
1863,-0.34,,
1864,-0.57,,
1865,-0.38,,
1866,-0.28,,
1867,-0.12,,
1868,-0.33,,
1869,-0.13,,
1870,-0.39,,
1871,-0.48,,
1872,-0.43,,
1873,-0.24,,
1874,-0.17,,
1875,-0.7,,
1876,-0.52,,
1877,-0.06,,
1878,0.24,,
1879,-0.41,,
1880,-0.49,,
1881,-0.33,,
1882,-0.5,,
1883,-0.62,,
1884,-0.83,,
1885,-0.71,,
1886,-0.69,,
1887,-0.71,,
1888,-0.53,,
1889,-0.32,,
1890,-0.67,,
1891,-0.61,,
1892,-0.54,,
1893,-0.56,,
1894,-0.46,,
1895,-0.46,,
1896,-0.35,,
1897,-0.28,,
1898,-0.42,,
1899,-0.26,,
1900,-0.11,,
1901,-0.08,,
1902,-0.34,,
1903,-0.4,,
1904,-0.55,,
1905,-0.4,,
1906,-0.22,,
1907,-0.68,,
1908,-0.46,,
1909,-0.46,,
1910,-0.41,,
1911,-0.45,,
1912,-0.47,,
1913,-0.33,,
1914,-0.04,,
1915,-0.04,,
1916,-0.41,,
1917,-0.6,,
1918,-0.49,,
1919,-0.25,,
1920,-0.28,,
1921,-0.08,,
1922,-0.25,,
1923,-0.24,,
1924,-0.14,,
1925,-0.11,,
1926,0.07,,
1927,-0.13,,
1928,-0.03,,
1929,-0.41,,
1930,-0.03,,
1931,0.05,,
1932,0.05,,
1933,-0.31,,
1934,0,,
1935,-0.12,,
1936,-0.09,,
1937,0.04,,
1938,0.22,,
1939,0.11,,
1940,0.1,,
1941,0.1,,
1942,0.07,,
1943,0.09,,
1944,0.18,,
1945,-0.09,,
1946,0.02,,
1947,0.13,,
1948,0.09,,
1949,-0.09,,
1950,-0.31,,
1951,-0.04,,
1952,-0.03,,
1953,0.21,,
1954,-0.11,,
1955,-0.03,,
1956,-0.38,,
1957,0.07,,
1958,0.11,,
1959,0.07,,
1960,-0.08,,
1961,0.14,,
1962,0.08,,
1963,0.2,,
1964,-0.26,,
1965,-0.14,,
1966,-0.06,,
1967,0.04,,
1968,-0.14,,
1969,-0.07,,
1970,0.05,,
1971,-0.05,,
1972,-0.15,,
1973,0.29,,
1974,-0.18,,
1975,0.09,,
1976,-0.3,,
1977,0.21,,
1978,0.04,,
1979,0.08,,
1980,0.32,,
1981,0.51,,
1982,-0.01,,
1983,0.38,,
1984,0.04,,
1985,0.01,,
1986,0.19,,
1987,0.36,,
1988,0.55,,
1989,0.27,,
1990,0.59,,
1991,0.53,,
1992,0.19,,
1993,0.22,,
1994,0.39,,
1995,0.69,,
1996,0.38,,
1997,0.54,,
1998,0.87,,
1999,0.62,,
2000,0.54,,
2001,0.75,,
2002,0.9,,
2003,0.85,,
2004,0.66,,
2005,1.03,,
2006,0.84,,
2007,1.06,,
2008,0.75,,
2009,0.81,,
2010,1.01,,
2011,0.82,,
2012,0.8,,
2013,0.9,,
